Year,conNEV,conseatc,labNEV,labseatc,ldNEV,ldseatc,ukipNEV,ukipseatc
1976,52,,40,,6,,,
1977,57,,31,,7,,,
1978,49,,37,,10,,,
1979,45,,38,,14,,,
1980,40,,42,,13,,,
1981,38,,41,,17,,,
1982,40,,29,,27,,,
1983,39,128,36,37,20,110,,
1984,38,-130,37,43,21,143,,
1985,32,-55,39,-32,26,129,,
1986,34,-687,37,456,26,286,,
1987,38,83,32,-225,27,461,,
1988,39,27,38,80,18,-65,,
1989,36,91,42,51,19,-112,,
1990,33,-163,44,283,17,-63,,
1991,35,-869,38,467,22,531,,
1992,46,264,30,-288,20,57,,
1993,31,-468,39,101,25,371,,
1994,28,-463,40,113,27,383,,
1995,25,-1956,47,1661,23,483,,
1996,29,-577,43,466,24,150,,
1997,30,193,41,1,24,-177,,
1998,33,259,37,-88,25,-114,,
1999,34,1293,36,-967,25,-119,,
2000,38,594,30,-568,26,-21,,
2001,31,150,39,-26,25,-92,,
2002,34,238,33,-339,25,44,,
2003,35,652,30,-793,27,138,,
2004,37,283,26,-479,27,137,,
2005,31,148,34,-114,27,51,,
2006,39,316,26,-319,25,2,,
2007,40,911,26,-505,24,-246,,
2008,43,300,24,-434,23,33,,
2009,35,285,22,-329,25,-48,,
2010,35,-119,28,412,25,-129,,
2011,38,81,37,800,16,-695,3,
2012,33,-432,39,861,15,-387,5,
2013,26,-335,29,291,13,-124,22,139
2014,30,-231,31,338,11,-307,18,161
2015,36,541,32,-203,10,-411,12,176
2016,32,-46,33,-23,14,44,12,28
2017,39,572,28,-378,18,-30,4,
2018,37,-33,36,77,14,78,2,-123
2019,31,-1335,31,-86,17,704,4,-142
2021,40,234,30,-326,15,8,,-48
2022,33,-485,35,108,17,224,,