Year,conNEV,labNEV,ldNEV,ukipNEV,lableadNEV,conleadNEV,connextelection,labnextelection,lableadnGE,conleadnGE
1976,52,40,6,,-12,12,43.9,36.9,-7,7
1977,57,31,7,,-26,26,43.9,36.9,-7,7
1978,49,37,10,,-12,12,43.9,36.9,-7,7
1979,45,38,14,,-7,7,43.9,36.9,-7,7
1980,40,42,13,,2,-2,42.4,27.6,-14.8,14.8
1981,38,41,17,,3,-3,42.4,27.6,-14.8,14.8
1982,40,29,27,,-11,11,42.4,27.6,-14.8,14.8
1983,39,36,20,,-3,3,42.4,27.6,-14.8,14.8
1984,38,37,21,,-1,1,42.2,30.8,-11.4,11.4
1985,32,39,26,,7,-7,42.2,30.8,-11.4,11.4
1986,34,37,26,,3,-3,42.2,30.8,-11.4,11.4
1987,38,32,27,,-6,6,42.2,30.8,-11.4,11.4
1988,39,38,18,,-1,1,41.9,34.4,-7.5,7.5
1989,36,42,19,,6,-6,41.9,34.4,-7.5,7.5
1990,33,44,17,,11,-11,41.9,34.4,-7.5,7.5
1991,35,38,22,,3,-3,41.9,34.4,-7.5,7.5
1992,46,30,20,,-16,16,41.9,34.4,-7.5,7.5
1993,31,39,25,,8,-8,30.7,43.2,12.5,-12.5
1994,28,40,27,,12,-12,30.7,43.2,12.5,-12.5
1995,25,47,23,,22,-22,30.7,43.2,12.5,-12.5
1996,29,43,24,,14,-14,30.7,43.2,12.5,-12.5
1997,30,41,24,,11,-11,30.7,43.2,12.5,-12.5
1998,33,37,25,,4,-4,31.7,40.7,9,-9
1999,34,36,25,,2,-2,31.7,40.7,9,-9
2000,38,30,26,,-8,8,31.7,40.7,9,-9
2001,31,39,25,,8,-8,31.7,40.7,9,-9
2002,34,33,25,,-1,1,32.4,35.2,2.8,-2.8
2003,35,30,27,,-5,5,32.4,35.2,2.8,-2.8
2004,37,26,27,,-11,11,32.4,35.2,2.8,-2.8
2005,31,34,27,,3,-3,32.4,35.2,2.8,-2.8
2006,39,26,25,,-13,13,36.1,29,-7.1,7.1
2007,40,26,24,,-14,14,36.1,29,-7.1,7.1
2008,43,24,23,,-19,19,36.1,29,-7.1,7.1
2009,35,22,25,,-13,13,36.1,29,-7.1,7.1
2010,35,28,25,,-7,7,36.1,29,-7.1,7.1
2011,38,37,16,3,-1,1,36.8,30.4,-6.4,6.4
2012,33,39,15,5,6,-6,36.8,30.4,-6.4,6.4
2013,26,29,13,22,3,-3,36.8,30.4,-6.4,6.4
2014,30,31,11,18,1,-1,36.8,30.4,-6.4,6.4
2015,36,32,10,12,-4,4,36.8,30.4,-6.4,6.4
2016,32,33,14,12,1,-1,42.3,40,-2.3,2.3
2017,39,28,18,4,-11,11,42.3,40,-2.3,2.3
2018,37,36,14,2,-1,1,43.6,32.2,-11.4,11.4
2019,31,31,17,4,0,0,43.6,32.2,-11.4,11.4
2021,40,30,15,,-10,10,,,,
2022,33,35,17,,2,-2,,,,
,,,,,,,,,,